Wifi Hotspot Name,Address,Suburb,Latitude,Longitude,Site
QLD_CBD051A,Intersection of Adelaide St and Queen St,BRISBANE CITY,-27.463745,153.031258,CBD
QLD_CBD053B,Intersection of Adelaide St and Albert St,BRISBANE CITY,-27.468741,153.024521,CBD
QLD_CBD054A,Intersection of Adelaide St and Wharf St,BRISBANE CITY,-27.464883,153.029411,CBD
QLD_CBD058A,256 Ann Street (Central Station Exit),BRISBANE CITY,-27.466202,153.026353,CBD
QLD_CBD059A,Intersection of Ann St and Creek St,BRISBANE CITY,-27.465544,153.026988,CBD
QLD_CBD063A,Intersection of Turbot St and Edward St,BRISBANE CITY,-27.466043,153.024893,CBD
QLD_CBD065A,Intersection of Turbot St and Wharf St,SPRING HILL,-27.463729,153.028235,SUB
QLD_CBD068A,208 Boundary Street,SPRING HILL,-27.46176496,153.0299777,SUB
QLD_CBD069A,70 Wickham St,FORTITUDE VALLEY,-27.46171055,153.031091,SUB
QLD_CBD072A,211 Adelaide St,BRISBANE CITY,-27.466884,153.027173,CBD
QLD_CBD073A,Intersection of Queen St and Edward St,BRISBANE CITY,-27.468364,153.027052,CBD
QLD_CBD074B,Intersection of George St and Queen St,BRISBANE CITY,-27.471017,153.023694,CBD
QLD_CBD076A,Intersection of George St and Tank St,BRISBANE CITY,-27.467975,153.02074,CBD
QLD_CBD077A,Intersection of George St and Herchel St,BRISBANE CITY,-27.467302,153.019817,CBD
QLD_CHI080A,Intersection of Brunswick St and Ann St,FORTITUDE VALLEY,-27.458385,153.035003,SUB
QLD_CHI081A,Intersection of Ann and Warner St,FORTITUDE VALLEY,-27.457697,153.035644,SUB
QLD_CHI082A,25 Warner St,FORTITUDE VALLEY,-27.457253,153.035064,SUB
QLD_SOU084A,Intersection of Grey St and Vulture St,SOUTH BRISBANE,-27.482493,153.024347,SUB
QLD_SOU085A,Intersection of Grey St and Tribune St,SOUTH BRISBANE,-27.480803,153.022952,SUB
QLD_SOU086B,176-186 Grey St,SOUTH BRISBANE,-27.479731,153.02235,SUB
QLD_SOU087A,Intersection of Grey St and Glenelg St,SOUTH BRISBANE,-27.477563,153.020965,SUB
QLD_SOU088A,Intersection of Grey St and Russell St,SOUTH BRISBANE,-27.475645,153.019612,SUB
QLD_SOU089A,59 Grey St,SOUTH BRISBANE,-27.472366,153.01741,SUB
QLD_SOU090A,Southbank Public Area near FDB12,SOUTH BRISBANE,-27.478988,153.024073,SUB
QLD_SOU091A,Southbank Public Area near FDB5B,SOUTH BRISBANE,-27.480811,153.02447,SUB
QLD_SOU092A,Southbank Public Area near FDB10,SOUTH BRISBANE,-27.479065,153.023651,SUB
QLD_SOU093A,Southbank Riverside Green Playground,SOUTH BRISBANE,-27.4772,153.02251,SUB
QLD_SOU094A,Southbank Little Stanley St,SOUTH BRISBANE,-27.477563,153.021486,SUB
QLD_SOU095A,Southbank Pir A (FDB31),SOUTH BRISBANE,-27.47487523,153.0211448,SUB
QLD_SOU096A,Southbank Cultural Forecourt,SOUTH BRISBANE,-27.47392,153.02037,SUB
QLD_SOU097A,Southbank Victoria Bridge,SOUTH BRISBANE,-27.473002,153.019642,SUB
QLD_SOU102A,Southbank Public Area near FDB16 (SB01 - Southbank Overview),SOUTH BRISBANE,-27.478261,153.023812,SUB
QLD_SOU103A,South Bank 2 Ferry Terminal,SOUTH BRISBANE,-27.476138,153.022057,SUB
QLD_CAX104B,Intersection of Caxton St and Petrie Tce,PETRIE TERRACE,-27.464852,153.013268,SUB
